,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_rate
0,white,0.33333333333333337,0.29333333333333333,0.4657534246575343,0.05291005291005292,0.2797202797202798,0.15853658536585366,0.4632352941176471,0.44480309877340574,0.5979381443298966,0.37499999999999994,0.24793388429752072,6,1
1,white,0.5833333333333334,0.2666666666666667,0.547945205479452,0.33333333333333337,0.2867132867132868,0.35365853658536583,0.3345588235294118,0.5158166559070452,0.5567010309278349,0.3055555555555555,0.3471074380165289,6,1
2,white,0.45833333333333337,0.19999999999999998,0.4383561643835616,0.417989417989418,0.3426573426573427,0.5609756097560976,0.6617647058823529,0.5480955455132346,0.48453608247422686,0.25000000000000006,0.31404958677685957,6,1
3,white,0.45833333333333337,0.19999999999999998,0.4383561643835616,0.417989417989418,0.3426573426573427,0.5609756097560976,0.6617647058823529,0.5480955455132346,0.48453608247422686,0.25000000000000006,0.31404958677685957,6,1
4,white,0.5833333333333334,0.2666666666666667,0.547945205479452,0.33333333333333337,0.2867132867132868,0.35365853658536583,0.3345588235294118,0.5158166559070452,0.5567010309278349,0.3055555555555555,0.3471074380165289,6,1
5,white,0.31944444444444453,0.31999999999999995,0.2191780821917808,0.33862433862433866,0.2517482517482518,0.35365853658536583,0.47794117647058826,0.5029051000645666,0.47422680412371143,0.34722222222222215,0.2644628099173554,6,1
6,white,0.33333333333333337,0.29333333333333333,0.4657534246575343,0.05291005291005292,0.2797202797202798,0.15853658536585366,0.4632352941176471,0.44480309877340574,0.5979381443298966,0.37499999999999994,0.24793388429752072,6,1
7,white,0.5833333333333334,0.18666666666666668,0.5890410958904109,0.04761904761904763,0.2447552447552448,0.32926829268292684,0.4522058823529412,0.43189154293092713,0.5154639175257731,0.3194444444444445,0.4958677685950412,6,1
8,white,0.5833333333333334,0.2533333333333333,0.5616438356164383,0.044973544973544985,0.16783216783216787,0.12195121951219513,0.20955882352941177,0.23821820529374094,0.2783505154639174,0.47222222222222227,0.6611570247933882,5,0
9,white,0.6527777777777778,0.19999999999999998,0.547945205479452,0.1904761904761905,0.18181818181818188,0.1951219512195122,0.37867647058823534,0.48999354422208796,0.4329896907216497,0.43055555555555564,0.28099173553719003,5,0
10,white,0.5555555555555557,0.13333333333333333,0.5068493150684931,0.031746031746031744,0.21678321678321683,0.18292682926829268,0.25367647058823534,0.3156875403486197,0.47422680412371143,0.5694444444444444,0.4628099173553719,5,0
11,white,0.375,0.10666666666666666,0.547945205479452,0.04761904761904763,0.2447552447552448,0.5731707317073171,0.5036764705882353,0.26404131697869815,0.8453608247422681,0.4166666666666667,0.7272727272727273,7,1
12,white,0.6111111111111113,0.45333333333333325,0.8493150684931506,0.9867724867724869,0.21678321678321683,0.4878048780487805,0.6102941176470588,0.8450613298902567,0.268041237113402,0.625,0.28099173553719003,5,0
13,white,0.375,0.12000000000000002,0.5205479452054794,0.04761904761904763,0.1608391608391609,0.32926829268292684,0.3897058823529412,0.27695287282116965,0.5463917525773194,0.4583333333333334,0.5619834710743801,7,1
